,Area,Room,Parking,Warehouse,Elevator,Address,Price
0,63,1,1,1,1,Shahran,1850000000
1,60,1,1,1,1,Shahran,1850000000
2,79,2,1,1,1,Pardis,550000000
3,95,2,1,1,1,Shahrake Qods,902500000
4,123,2,1,1,1,Shahrake Gharb,7000000000
5,70,2,1,1,0,North Program Organization,2050000000
6,87,2,1,1,1,Pardis,600000000
7,59,1,1,1,1,Shahran,2150000000
8,54,2,1,1,0,Andisheh,493000000
9,71,1,1,1,1,West Ferdows Boulevard,2370000000
10,68,2,1,1,1,West Ferdows Boulevard,2450000000
11,64,1,1,1,1,Narmak,2100000000
12,54,1,0,1,1,Narmak,1690000000
13,136,3,1,1,1,Saadat Abad,11000000000
14,95,2,1,1,1,Zafar,5000000000
15,63,1,0,1,0,Islamshahr,570000000
16,155,3,1,1,1,Narmak,6700000000
17,64,2,0,1,0,Pirouzi,1450000000
18,140,3,1,1,1,West Ferdows Boulevard,6400000000
19,42,1,0,1,0,Pirouzi,1390000000
20,93,2,1,1,1,Shahrake Gharb,7000000000
21,87,2,1,1,1,Shahrake Shahid Bagheri,2500000000
22,65,1,1,1,1,Shahran,1880000000
23,99,2,1,1,1,Moniriyeh,2277000000
24,105,2,1,1,1,Saadat Abad,7150000000
26,77,2,1,1,1,Amirieh,1771000000
27,123,2,1,1,1,Pirouzi,4059000000
28,110,2,1,1,1,Southern Janatabad,630000000
29,100,2,1,1,1,West Ferdows Boulevard,3200000000
30,90,2,0,1,0,Salsabil,1500000000
31,49,1,1,1,1,West Ferdows Boulevard,2200000000
32,96,2,1,1,1,Zargandeh,7872000000
33,67,2,1,1,0,Feiz Garden,2350000000
34,68,2,1,1,1,West Ferdows Boulevard,2500000000
35,62,1,1,0,1,Water Organization,2150000000
36,55,1,1,1,1,West Ferdows Boulevard,2150000000
37,110,2,1,1,1,West Ferdows Boulevard,3750000000
38,129,2,1,1,1,West Ferdows Boulevard,5250000000
39,109,2,1,1,1,West Ferdows Boulevard,4830000000
40,58,1,1,1,1,Saadat Abad,3400000000
41,55,1,1,1,1,Saadat Abad,3850000000
42,150,2,0,1,1,Shahrake Qods,1200000000
44,130,3,1,1,0,ShahrAra,5000000000
45,88,2,1,1,1,Gisha,4750000000
46,51,1,1,1,1,Gisha,2980000000
47,113,3,1,1,0,Shahrake Gharb,7000000000
48,110,2,1,1,1,Ray,2035000000
49,60,1,1,1,1,Abbasabad,2460000000
50,98,2,1,1,1,Pardis,540000000
51,62,2,0,0,1,Ostad Moein,1450000000
52,150,3,1,1,1,Farmanieh,10000000000
53,75,2,0,0,0,Parand,635000000
54,61,1,1,1,0,Punak,2030000000
56,72,2,1,1,1,Shahran,2350000000
57,100,2,1,1,1,Qasr-od-Dasht,3000000000
58,122,3,1,1,1,Aqdasieh,7200000000
60,101,2,1,1,1,Railway,3300000000
61,67,2,1,1,1,Punak,2800000000
62,72,2,1,1,0,Punak,2200000000
63,63,1,1,1,0,Punak,2200000000
64,75,2,1,1,0,Punak,2200000000
65,109,2,1,1,1,Shahran,3500000000
66,122,2,1,1,1,Aqdasieh,7000000000
67,70,1,1,1,1,Central Janatabad,3100000000
68,60,1,1,1,1,West Ferdows Boulevard,2450000000
69,53,1,1,1,0,East Ferdows Boulevard,1920000000
70,90,1,0,1,0,Pakdasht KhatunAbad,850000000
71,72,2,1,1,1,Amirieh,1650000000
72,74,2,1,1,1,Amirieh,1700000000
73,88,3,0,0,1,Parand,560000000
74,63,1,1,1,1,Punak,2150000000
75,114,3,1,1,1,Sattarkhan,5500000000
76,151,3,1,1,1,Saadat Abad,10200000000
77,42,1,1,0,1,Shahran,1760000000
85,110,2,1,1,1,West Ferdows Boulevard,3730000000
86,100,2,0,0,0,Shahrake Qods,620000000
87,140,1,0,0,0,Shahryar,580000000
88,70,2,1,1,1,Northern Janatabad,3050000000
89,60,2,1,1,0,West Ferdows Boulevard,2000000000
90,76,2,1,1,1,North Program Organization,2600000000
91,148,3,1,1,1,Daryan No,5990000000
92,75,2,1,1,1,North Program Organization,2300000000
93,40,1,1,1,0,Pirouzi,1300000000
94,65,2,1,1,1,Southern Program Organization,2270000000
95,140,3,1,1,1,Rudhen,4000000000
96,110,2,1,1,1,West Pars,4000000000
97,70,2,1,0,1,Afsarieh,1650000000
98,128,3,1,1,1,Marzdaran,6700000000
99,94,2,1,1,1,Parand,580000000
100,67,1,1,1,1,Punak,2300000000
101,75,1,1,1,1,Shahrake Qods,650000000
103,40,0,0,0,0,Shahrake Qods,248000000
104,97,2,1,1,1,Pardis,510000000
105,110,2,1,1,1,Shahran,3850000000
106,150,3,1,1,1,Sadeghieh,6000000000
107,75,2,0,0,0,Chahardangeh,780000000
108,137,3,1,1,1,ShahrAra,7200000000
109,85,2,1,1,1,Parand,410000000
110,68,2,0,1,0,Pakdasht,430000000
111,78,2,0,1,0,Baqershahr,800000000
112,85,2,1,1,1,Parand,545000000
113,100,2,1,1,0,Parand,1280000000
114,71,2,1,1,1,Punak,2800000000
115,140,3,1,1,1,Gisha,11200000000
116,136,3,1,1,0,Parand,750000000
117,48,1,0,0,0,Jeyhoon,850000000
118,100,2,1,1,1,Lavizan,3300000000
119,82,2,1,0,1,Shams Abad,3280000000
120,120,3,1,1,1,Fatemi,4800000000
121,139,3,1,1,1,Gisha,7300000000
122,110,3,1,1,1,Keshavarz Boulevard,3950000000
123,78,2,0,0,1,Parand,370000000
124,79,2,0,0,0,Baghestan,750000000
125,66,2,1,1,1,Salsabil,1725000000
126,78,2,1,1,1,Kahrizak,780000000
127,85,2,1,1,1,Shahryar,1419000000
128,100,2,1,1,0,Qarchak,1200000000
129,80,2,1,1,1,Northren Jamalzadeh,3600000000
130,44,1,1,1,0,Salsabil,1050000000
131,120,2,1,1,0,Shahryar,1200000000
132,50,1,0,1,0,Shahrake Qods,340000000
133,121,3,1,1,0,Ostad Moein,3300000000
134,80,2,1,1,1,Azarbaijan,2800000000
135,70,2,0,1,1,Bahar,1200000000
136,160,1,0,0,0,Qarchak,3600000
